3_1_9,102_2_10
3_1_10,104_11_14
3_1_11,106_19_1
3_1_12,109_16_15
3_1_13,110_15_17
3_1_14,109_8_1
3_1_15,110_4_16
3_1_16,105_17_3
3_1_17,103_6_18
3_1_18,107_1_12
3_1_19,110_17_3
3_1_20,107_19_20
3_2_1,107_7_6
3_2_2,109_12_2
3_2_3,101_2_12
3_2_4,101_17_8
3_2_5,109_12_3
3_2_6,102_2_15
3_2_7,107_7_6
3_2_8,105_11_3
3_2_9,104_2_7
3_2_10,110_7_3
3_2_11,108_17_14
3_2_12,107_10_2
3_2_13,103_10_14
3_2_14,103_10_14
3_2_15,102_12_5
3_2_16,109_14_19
3_2_17,106_4_2
3_2_18,105_4_12
3_2_19,104_16_2
3_2_20,108_2_20
3_3_1,102_3_7
3_3_2,106_18_10
3_3_3,104_13_5
3_3_4,109_12_3
3_3_5,102_10_7
3_3_6,102_3_18
3_3_7,106_15_10
3_3_8,101_19_15
3_3_9,103_17_13
3_3_10,109_6_15
3_3_11,101_4_12
3_3_12,109_1_11
3_3_13,103_15_13
3_3_14,109_11_11
3_3_15,107_18_19
3_3_16,102_13_18
3_3_17,104_19_16
3_3_18,101_14_2
3_3_19,104_15_13
3_3_20,106_18_20
3_4_1,105_14_19
3_4_2,109_18_5
3_4_3,106_1_17
3_4_4,102_8_1
3_4_5,110_3_7
3_4_6,102_20_4
3_4_7,109_16_10
3_4_8,110_13_15
3_4_9,102_12_5
3_4_10,107_4_7
3_4_11,110_9_8
3_4_12,108_20_5
3_4_13,107_3_18
3_4_14,107_6_3
3_4_15,108_16_17
3_4_16,105_6_14
3_4_17,109_7_13
3_4_18,108_13_6
3_4_19,108_12_4
3_4_20,108_5_20
3_5_1,107_16_13
3_5_2,102_20_5
3_5_3,105_7_4
3_5_4,110_4_12
3_5_5,109_7_3
3_5_6,109_12_5
3_5_7,107_16_8
3_5_8,110_6_9
3_5_9,101_4_14
3_5_10,104_3_15
3_5_11,102_2_16
3_5_12,109_5_5
3_5_13,110_13_19
3_5_14,101_7_14
3_5_15,106_19_8
3_5_16,105_3_17
3_5_17,103_10_14
3_5_18,106_10_19
3_5_19,108_10_3
3_5_20,104_10_20
3_6_1,103_2_18
3_6_2,110_20_8
3_6_3,108_12_1
3_6_4,109_1_6
3_6_5,101_10_1
3_6_6,104_16_10
3_6_7,110_3_8
3_6_8,107_9_14
3_6_9,106_2_1
3_6_10,107_5_2
3_6_11,109_1_14
3_6_12,108_13_8
3_6_13,110_7_3
3_6_14,106_11_3
3_6_15,107_19_19
3_6_16,107_12_18
3_6_17,102_12_10
3_6_18,101_6_2
3_6_19,107_6_11
3_6_20,101_16_20
3_7_1,101_19_6
3_7_2,108_12_3
3_7_3,105_11_4
3_7_4,109_7_9
3_7_5,104_17_18
3_7_6,108_2_14
3_7_7,104_19_3
3_7_8,102_15_2
3_7_9,110_2_1
3_7_10,105_5_5
3_7_11,110_16_11
3_7_12,104_19_16
3_7_13,109_16_15
3_7_14,104_2_1
3_7_15,105_14_14
3_7_16,105_10_18
3_7_17,106_19_5
3_7_18,108_5_18
3_7_19,103_17_5
3_7_20,108_8_20
3_8_1,104_19_12
3_8_2,107_18_8
3_8_3,103_3_9
3_8_4,107_3_11
3_8_5,109_14_12
3_8_6,109_11_10
3_8_7,109_16_15
3_8_8,106_6_16
3_8_9,109_8_10
3_8_10,104_7_1
3_8_11,101_3_12
3_8_12,105_18_14
3_8_13,103_16_2
3_8_14,103_20_4
3_8_15,105_14_3
3_8_16,109_6_11
3_8_17,102_5_2
3_8_18,101_18_3
3_8_19,101_14_17
3_8_20,102_1_20
3_9_1,101_17_12
3_9_2,106_19_10
3_9_3,110_9_18
3_9_4,109_1_10
3_9_5,109_5_12
3_9_6,108_11_1
3_9_7,103_19_10
3_9_8,104_13_9
3_9_9,110_10_10
3_9_10,108_12_17
3_9_11,105_7_13
3_9_12,108_5_13
3_9_13,102_15_7
3_9_14,104_5_12
3_9_15,101_8_11
3_9_16,102_14_4
3_9_17,107_14_9
3_9_18,103_19_14
3_9_19,102_10_17
3_9_20,109_3_20
3_10_1,106_20_19
3_10_2,104_9_4
3_10_3,101_5_9
3_10_4,101_12_8
3_10_5,108_19_9
3_10_6,107_3_11
3_10_7,108_15_13
3_10_8,105_3_14
3_10_9,101_4_9
3_10_10,103_2_1
3_10_11,106_19_15
3_10_12,106_2_11
3_10_13,101_20_12
