2_1_5,105_10_19
2_1_6,107_1_7
2_1_7,103_14_9
2_1_8,103_19_9
2_1_9,104_20_12
2_1_10,105_9_5
2_1_11,104_14_2
2_1_12,101_10_10
2_1_13,110_11_11
2_1_14,105_8_16
2_1_15,110_6_8
2_1_16,107_15_17
2_1_17,107_1_11
2_1_18,107_10_17
2_1_19,106_16_12
2_1_20,110_12_9
2_2_1,104_14_6
2_2_2,109_18_5
2_2_3,109_4_5
2_2_4,106_7_11
2_2_5,104_10_8
2_2_6,102_18_17
2_2_7,106_13_17
2_2_8,110_16_3
2_2_9,106_11_12
2_2_10,106_17_4
2_2_11,106_20_16
2_2_12,110_17_15
2_2_13,106_20_11
2_2_14,106_2_4
2_2_15,107_3_1
2_2_16,110_20_2
2_2_17,105_7_14
2_2_18,105_12_17
2_2_19,102_19_3
2_2_20,106_8_20
2_3_1,106_15_19
2_3_2,106_2_11
2_3_3,103_10_3
2_3_4,108_2_3
2_3_5,101_6_9
2_3_6,102_3_17
2_3_7,106_13_11
2_3_8,108_3_5
2_3_9,104_8_3
2_3_10,109_18_14
2_3_11,109_19_7
2_3_12,105_9_4
2_3_13,103_20_16
2_3_14,105_7_14
2_3_15,103_8_13
2_3_16,101_15_14
2_3_17,108_8_17
2_3_18,109_4_8
2_3_19,101_17_1
2_3_20,108_3_20
2_4_1,107_12_8
2_4_2,110_15_11
2_4_3,107_15_12
2_4_4,109_15_10
2_4_5,109_15_11
2_4_6,103_5_16
2_4_7,103_20_12
2_4_8,110_9_7
2_4_9,107_20_5
2_4_10,105_3_12
2_4_11,103_9_14
2_4_12,104_10_8
2_4_13,104_2_8
2_4_14,103_11_19
2_4_15,102_12_14
2_4_16,105_8_19
2_4_17,103_13_2
2_4_18,101_19_18
2_4_19,106_9_11
2_4_20,110_3_20
2_5_1,106_15_6
2_5_2,110_6_16
2_5_3,108_16_8
2_5_4,108_5_9
2_5_5,105_3_7
2_5_6,104_9_6
2_5_7,102_9_5
2_5_8,109_7_2
2_5_9,109_10_14
2_5_10,109_7_20
2_5_11,101_17_10
2_5_12,105_15_13
2_5_13,105_6_13
2_5_14,109_17_6
2_5_15,105_3_13
2_5_16,102_11_10
2_5_17,107_4_8
2_5_18,103_9_2
2_5_19,106_18_6
2_5_20,101_14_20
2_6_1,108_8_9
2_6_2,110_12_7
